Date,Rating,Review,Vehicle Name,Miles Driven on Tires,Driving Conditions,Location,Driving Style
"March 21, 2020",4.5,THE RAISED WHITE LETTERS TURNED BROWN . I CANNOT GET THEM TO WHITEN. MANY OTHERS WITH THE SAME PROBLEM. SOME HAVE TURNED TO WHITE PAINT PENS TO COLOR THEM WHITE FOR THEIR 70'S AND 80'S CARS.,1971 Oldsmobile Cutlass ,"1,000 Miles",Mostly Highway,"COVINGTON TOWNSHIP, PA",Average
"August 14, 2019",4.0,"If you are purchasing this tire for the classic muscle car style raised white letter look, beware: the letters will most likely turn brown, and you will not be able to get them white. This is my 6th set of TA's over the span of 25 years, and something is wrong with the RWL quality. I have tried literally every trick in the book, and scrubbed these letters for hours to no avail. Google this issue, and you will see. Unfortunately, they are one of the last players in the game with this classic look.  These tires ended up being the light brown/yellow raised letter edition. Don't say I didn't warn you.",1978 Buick Regal ,500 Miles,Combined Highway/City,"PATASKALA, OH",Average
"March 08, 2019",4.0,"Excellent & Improved Ride, Grip, Response, and Handling on my 98 Ranger Splash!",1998 Ford Ranger Super Cab 2wd ,300 Miles,Combined Highway/City,"San Francisco, CA",Spirited
"June 01, 2018",4.0,Good tire best that I've ever put on my car they even   Last through my bacon strips,1971 Pontiac Firebird ,"10,000 Miles",Combined Highway/City,"WINDSOR, CA",Spirited
"February 03, 2018",5.0,Put these tires on the front of my 83 Z-28. Gave me the look and performance I was looking for. Also mounted them on S/S Cragers for the old school look,1983 Chevrolet Camaro ,600 Miles,Combined Highway/City,"AURORA, IL",Average
"November 12, 2017",4.0,The good points;,1988 Chevrolet Cavalier Z24 ,"2,000 Miles",Combined Highway/City,"NEW PORT RICHEY, FL",Spirited
"August 13, 2017",4.0,"Replaced a set of these on the front of my 1953 Studebaker street rod. The original set installed were made in USA. Bought these as they were touted ""made in USA"".  The ones I received are made in Mexico. Guess they moved the factory.",2008 Studebaker Coupe ,40 Miles,Mostly Highway,"WELLBORN, FL",Easy Going
"May 16, 2017",4.5,A great classic look tire for 64-72 Muscle Cars. I love this tire and hope it is never discontinued.,1970 Chevrolet Chevelle SS ,"2,500 Miles",Combined Highway/City,"CALGARY, AB",Average
"April 02, 2017",2.5,"I love the style of white lettering, which is why I bought these tires. There were no other white letter tires in my size at the time. Looking back, I should have realised the Raadial T/A is essentially a muscle car tire, not an all season, all weather tire. Dry performance was outstanding. On a weekend driver in nice weather, I can think of no better tire. On my truck, which is a daily driven light weight 2WD open diff truck, these were not a good option. Wet traction is virtually non existent, which was made worse when the tread is worn. This review is not a slight against the tire at all... They simply weren't designed for what I put them through. So for anyone reading this with a year-round, daily driven vehicle, I'd suggest to keep looking. If you need some rubber for your muscle car, stop looking, you've found the best tire for the job.",1987 Ford Ranger 2wd ,"35,000 Miles",Combined Highway/City,"PHOENIXVILLE, PA",Spirited
"April 01, 2017",Not Rated,Went old school look on my 83 Camaro. Used S/S Cragers with the Radial T/A's to get the look I wanted. Running 275/60/15 on the rear and 245/60/15 on the front. Currently about 100 miles on tires by love the look and feel.,1983 Chevrolet Camaro ,100 Miles,Combined Highway/City,"AURORA, IL",Average
"July 27, 2016",4.0,"I purchased BF Goodrich Radial R/A (white raised letters) this month; thanks to the knowledge of my TR advisor was able to get this tire at 215/70 Front and 225/70 Rears.  This brand and combination are not available on default based on my car but I insisted to get this brand and vintage look.  The combination works really well and transformed my '64 Corvette convertible which had Tiger Paws (Whitewall) from previous owner.  Those tires may look the era, but the Torq Thrust and BF Goodrich combination looks much better for a driver like myself that prefers performance over looks and driving experience vs authenticity.  To be authentic for this model and year one would need bias ply tires which is something I prefer to remain in the past, thank you.",1964 Chevrolet Corvette ,100 Miles,Combined Highway/City,"WARREN, NJ",Spirited
"April 05, 2016",3.5,"I have just ordered this set of 4 tires this morning, and as normal the person I spoke with was very knowledgeable and nice. He answered my questions excellent and led me in the right direction for the selection of my tires for my 68 Mustang. My order number is AF17088. My son and I has purchased at least 10 sets of tires from you and every time we have had excellent service. Keep up the great work and especially give the person I talked with this morning a great attaboy and since we have been such a great customer how about considering a discount sometime for me because I am going to have to order another set of tires for my van later this year.",1968 Ford Mustang 5-Lug ,0 Miles,Combined Highway/City,"ROANOKE, VA",Average
"March 23, 2016",4.0,"I have been driving for about 40 years and have used Goodrich TA Radials for most of those years.However have also used many other brands.These stand out mostly in my mind for great tread wear,smooth ride(new) and durability.I also like the look of TA Radials on my truck.My truck's stock tires were much smaller and I didn't like the size the factory chose for a truck tire and I decided to change my rims and tires over the years so I now have a wider and taller tire which rides better and wears better.I also no longer need to use ramps to change oil due to the taller tires.Only dis-advantage is the turning radius is wider now.So getting into a parking place I need more room but it's all worth it to me.",1995 GMC C1500 2wd Pick-up ,"40,000 Miles",Combined Highway/City,"ANDERSON, SC",Spirited
"March 12, 2016",5.0,radial t-a's the best. been using for 40 years.,1999 Plymouth Neon Highline Sedan ,"28,000 Miles",Combined Highway/City,"MIDDLETON, ID",Easy Going
"February 18, 2016",4.0,I have been running BFG Radial T/A since 1972.I like them for my style of driving.Doesnt cost as much as Goodyear Eagle and last about 10000 miles longer next close tires is cooper not a bad tire. I have a ramp where 91 west run into 110 north its a 55 mph ramp which I can take with ease at 80 mph. love the tires.,1987 Oldsmobile Cutlass ,"45,000 Miles",Combined Highway/City,"LAKEWOOD, CA",Spirited
"January 21, 2016",4.5,I cannot make too many observations as I have driven only from my mechanics shop to home.,1984 Toyota Celica GTS ,50 Miles,All Highway,"SAN FRANCISCO, CA",Spirited
"January 16, 2016",5.0,"This was my first experience ordering tires online. After research, Tire Rack became the choice for me. I ordered 4 tires for my muscle car and thought I wanted bigger tires on the back to increase the lift.  After mounting the tires, I found that they did not fit so I made a call to Tire Rack.  They sent me two of the same tires as the front and even provided a return UPS number to pick up the original tires at my installer.  After return, they noticed me that my installer had damaged one of the tires around the bead.  After a quick exchange of pictures and conversation, we agreed upon a return price.  Tire Rack is an exceptional company that stands behind their commitment to customer service and satisfaction. I highly recommend them and will be a customer for life.",1968 Chevrolet Nova SS ,15 Miles,Combined Highway/City,"EAST MEADOW, NY",Spirited
"January 08, 2016",4.0,I waited until I had lots of time and miles on these tire before rating them. Folks that rate tires a week after purchase cannot give a real impression of a tires performance.,2002 Chevrolet Blazer 4wd 4dr ,"53,000 Miles",Combined Highway/City,"WADING RIVER, NY",Average
"January 04, 2016",3.5,"These tire are on a 1977 Toyota Celica GT with the wheels from a 1984 Toyota Supra. I am running 225's on the front and 235's on the rear. This car is a long term project and is driven about once per month. I replaced the engine (18RG bored out to 2.2 L, transmission (P51), rear end (Limited Slip), suspension, brakes, cooling system and engine ignition systems. I bought the tires because Bridgestone was the only ones available in 14"" rim size. Back in the 1960's and 70's Bridgstone was one manufacture building excellent performance tires and I am glad they continue this size.",1977 Toyota Celica ,"8,000 Miles",Combined Highway/City,"UPPER MARLBORO, MD",Average
"October 15, 2015",5.0,old school great looking RWL tires whereby the performance matches the great look,1999 Mazda B2500 SE Cab Plus 2wd ,"4,000 Miles",Mostly City,"RALEIGH, NC",Easy Going
"August 22, 2015",Not Rated,"I only have 100 miles on this tire, I like the performance of the tire. I don't like that the raised white letters have turned brown. Nothing I have used to try and clean them has worked.",1980 Chevrolet Corvette ,100 Miles,All City,"FAIRPORT, NY",Easy Going
"August 19, 2015",4.5,"Just mounted these tires on my 327 CI 350 HP (Dyno figures) 67 Camaro ( VIN # 000002 first day of production build) with 10,000 documented miles that I obtained at an estate sale 2 years ago.  These tires replaced the original Polyglas F70-14 rubber that  appeared unroadworthy.   I did drive the car for about 10 miles with the old tires and conditions noted were instability over 30MPH, squealing during moderate cornering, car spun 90 degrees under heavy acceleration with non-stop wheel spin despite posi differential.  Enough.  Out with the old and on with the new BFG Radial T/As .  First test was hard acceleration. Controllable wheelspin for first 40 feet but car went straight as an arrow with no sensation of sideways movement.  Next I took the car through a posted 30 MPH curve at 55MPH and there was no squealing or lateral drift just a feeling of being on rails as I took the curve with a feeling of total control.  Next was 55 MPH straight road with momentary hands off steering wheel.  The car continued straight with no perceptible wandering.  Finally I did a 55 to 0 panic stop.  I modulated the brake pedal to the point of threshold skid however the car stopped straight with no perceptible deviation. ",1967 Chevrolet Camaro ,30 Miles,Combined Highway/City,"SONOMA, CA",Easy Going
"June 12, 2015",3.5,Have not  driven many miles so far.    no complaints.,1989 Chevrolet Camaro IROC ,"2,000 Miles",Mostly Highway,"BETHLEHEM, PA",Spirited
"May 05, 2015",4.5,"superior tire with old school looks, what's not to like?",1999 Mazda B2500 SE Cab Plus 2wd ,"2,000 Miles",Mostly City,Not Provided,Easy Going
"April 25, 2015",5.0,"I just put these on the 76 Stingray yesterday and I'm already amazed.  My old tires were skittering around corners and squealing on off ramps, frequently breaking loose.  The Vette is in great shape and now handles like it should.  Very nice grip in first gear and corners and ramps are solid.  Very quiet at 70 MPH, track nicely on the highway and inspire confidence all around.  Can't comment on wear or weather yet, but for the money I'd be happy with one or two Summers of safe, fairly aggressive driving.  The look is perfect for the 70's classic and the size replicates the original rubber very well.  Speedometer is also spot on.  I was somewhat concerned that this tire was designed so long ago that it might mot perform as well as I wanted.  I read on BFG site that they have made improvements in the technology and manufacture, and I am glad I took the chance.  With so little to choose from in 15"" RWL tires, I'll probably stick with these for the look, value and handling I've seen so far.",1976 Chevrolet Corvette ,100 Miles,Combined Highway/City,"WILLIAMSVILLE, NY",Spirited
"November 08, 2014",4.5,"Great all-around tire for muscle cars in hard to find 15-inch sizes. They look great with the raised white lettering and have a good balance of traction, comfort, and handling.",1979 Chevrolet Corvette ,"3,000 Miles",Combined Highway/City,"EDISON, NJ",Spirited
"September 23, 2014",3.0,Car mostly used for show and highway travel to shows.  Since car is not driven to its limits high speed performance is not known.,1966 Ford Mustang 5-Lug ,"1,000 Miles",Combined Highway/City,Not Provided,Average
"September 19, 2014",3.5,"These tires are on a corvette i drive ocassionally. the only complaint is the white lettering on the tires has turned brown and wont wash or sand off. the tires handle and wear good for a 15"" tire, even though its getting hard to find them. I may have to flip the tires over to blackwall even though its a hassle to do that....",1979 Chevrolet Corvette ,500 Miles,Combined Highway/City,"TYLER, TX",Average
"July 16, 2014",4.0,Customer Service:,1976 Pontiac Firebird ,"15,400 Miles",Combined Highway/City,"WOODBRIDGE, ON",Easy Going
"August 11, 2014",1.0,Classic cars from the 60s almost always had the bfgs T/A on them. they are iconic in the car world.....But now cars are faster and to put a set of these on a muscle car seems silly. The speed rating is only 112??? I can reach 120mph in inder 1300 feet. I would like if the company would sell that same tire in a better speed rating!! with a better traction also. I ran the drag t/a and ate them up within 2 weeks of driving on the street!,1968 Pontiac Firebird ,50 Miles,Track/Autocross,"CHAMPLIN, MN",Spirited
"June 22, 2014",4.0,"Have tires on small truck. I live in the south a lot of rain, this tire is great in the rain. Not a lot of snow here but winter of 14 large storm hit many folks stranded. I was able to get home next day with many detours. I am a professional truck driver wish helped and had loaded about 600 lb. of gravel in bed.  Was very impressed with the tire on packed snow very very slick . Am buying 3rd. set now, love them.",1995 Isuzu Rodeo ,"55,000 Miles",Mostly Highway,"ALABASTER, AL",Average
"May 02, 2014",4.0,The tires are smooth and quite. The Chevelle handles better with the BF Goodrich tires.,1964 Chevrolet Chevelle SS ,"1,500 Miles",Mostly Highway,Not Provided,Spirited
"April 25, 2014",4.0,"I had to put these tires on my lowered Ranger because they discontinued the Dunlops with RWL and I love RWL. My first complaint is tire noise. These are pretty loud (squealing) when burning out. Other tires I've had were much quieter. But for dry traction, I never had a harder launch at the track then with these. Truck corners amazing on dry pavement with the hammer down. Tread wear is ok, the fronts got choppy because of my negative camber where other brands did not. The rears always wear like they are over inflated even at 20psi! I am running 275/60r15 which is overkill for the truck, but I could have got more life if they had worn evenly. The fronts are still good at this mileage (different wheel sizes front and rear to accommodate the custom rear end amd lowering kit) I am here to buy new rears as they are at 1/32 and I spun out in the rain today. prior to that, the braking in  wet weather had been great, but I could predictably spin them when i wanted. I rated the sand performance low because I got stuck pulling out my jet ski on sand and these didn't even try to get traction. A few days ago I climbed a significant hill on gravel and did ok through a muddy dirt road. They are a pretty good all around tire so I'll do two more for now.",1999 Ford Ranger Super Cab 2wd ,"50,000 Miles",Combined Highway/City,Not Provided,Spirited
"April 19, 2014",5.0,"I am geting ready to replace a set of P 195/60/R15s with a set of P 205/60/R15s since Bf Goodrich quit making the 195s. I put them on with 93,165 miles on my old 97 Ford Contour with a front end allignment. The odometer is at 141,000 miles and there is very little tread left. I rotated them every other oil change, aprox 7000 miles. Kept them inflated at 35 psi and have had zero issues in the past 3 years. These are great all season tires and some of them are still made here in the USA, which is a big plus for me. The raised white letter tires also look great!! You can find a cheaper tire but i doubt you will find a better tire. With any tire front end allignmet and the condition of your front suspension is crucial in tire life,people bashing any tire over uneven wear is a problem with the car not the tire.",1997 Ford Contour ,"40,000 Miles",Combined Highway/City,"PAWNEE, IL",Average
"March 09, 2014",4.0,"i had these tires on my ranger and they transformed the truck from a something that i hated driving to something that handled great, rode nice and had almost no tire noise unless i was above 75 mph. they held up to the occasional power braking really well and made the truck fun to drive. there definitely going on my new ranger they were oversize for the truck and soaked up the bumps great. and i even used them to get into a friends camp that was two miles of dirt roads that were unmaintained and even a few small mud holes and i didn't have any problems",1996 Ford Ranger 2wd ,"10,000 Miles",Combined Off Road/Highway,"PLATTSBURGH, NY",Spirited
"November 01, 2013",2.0,"Fine on dry roads, but in my Manual 3.0L V6 Ranger I could break them loose everytime unless i took off very slowly. In rain and uphill almost impossible not to spin the tires. I can only imagine how they would do in a performance vehicle. ",1998 Ford Ranger 2wd ,"25,000 Miles",Combined Highway/City,"SPARTA, MI",Average
"August 07, 2013",4.0,"I bought a set of raised white letter radial T/A's for a mint condition 1985 Chevy Celebrity Eurosport that I have owned since 1989. This is only the third set of tires that has ever ben put on this vehicle. These replaced a set of Michelin Pilot HGT4's that I bought in 1999. There was pleny of thread left on them but they were dry rotted from sitting for so long. I have always been a fan of Michelin tires and was hesitant about buying anything else. I wanted a low profile, wide thread width tire. But because this car has factory 14 inch rims on it, the selection of replacement tires is limited. The BF Goodrich radial T/A's were the only tire I could find in the size I wanted. The Michelin Pilot HGT4's that I had on the car handled nice but always road rough. They seemed to amplify ever bump in the road. The first thing that I noticed after I got the BFG's mounted on the car was how much smoother the ride was. The next thing I noticed was how much better they held going around corners. I can't say how they perform in rain or snow. Because I don't drive this car in the rain or in the snow. There is no issue with me as far as tire road noice. So far I am pleased with these tires and would have no problem with recomending them to some one else.",1985 Chevrolet Celebrity Eurosport ,"2,000 Miles",Combined Highway/City,"MOLINE, IL",Average
"July 17, 2013",5.0,"I have these on my 1969 Mustang Convertible.  Can't speak to the performance in snow or ice, but in other conditions they are fine.  This is a touring/fun car, not a sports car.  The ride on these tires is quiet and comfortable, which is nice since otherwise the car is pretty noisy due to wind.  Otherwise, some jerk out there wanted these tires and rims badly enough to steal them off the car, so I'm buying another set of the same tire.",1969 Ford Mustang 5-Lug ,"5,000 Miles",Combined Highway/City,"INWOOD, WV",Average
"June 09, 2013",4.0,"I'm in the Junking business haul a tandem R&R old rental trailer 15X5 I've put in it over 2800 pounds and my tire are doing well with weight per tire at 1411 per tire to me that is -------- of good BFG use to Make a traction TA.T witch was way better in wet roads then this it had little s on the tread and it was one -------- of a tire for 80,000 mile per tire got every bit out of them and they had at least 30,000 left on them so i gave them to my poor nabor and he still has them on his car after 2 years of me giving them to them he only drives about 30 miles a week good tires good Foot print on the road",1991 Ford Ranger Super Cab 2wd ,"69,000 Miles",Combined Highway/City,"MORENO VALLEY, CA",Spirited
"June 06, 2013",4.5,"These tires work great on this truck. Quiet, responsive, very good traction, good ride, and I think they look great.",1991 GMC C1500 2wd Pick-up ,"3,500 Miles",Combined Highway/City,"MARTINSBURG, WV",Spirited
"June 01, 2013",4.5,"These really work well for this vintage kind of car. They look good, drive well and are quiet. I can't speak to their wet capability because I don't take this car out in the rain or snow. The only drawback is that they flat spot when the car sits for a long time but that is to be expected. The good news is that the flat spots do drive out. For a classic muscle car, I can't think of a better tire.",1966 Pontiac GTO ,"1,000 Miles",Combined Highway/City,Not Provided,Spirited
"May 15, 2013",5.0,I had one tire that had to be road forced balanced and I had them all done to be safe.,2000 Dodge Dakota Club Cab 2wd ,"1,000 Miles",Combined Highway/City,Not Provided,Average
"May 07, 2013",4.5,Best tires I ever had.,1999 Dodge Dakota R/T Club Cab ,"60,000 Miles",All Highway,"BOLIVAR, TN",Average
"June 14, 2009",4.0,"I used these tires on my 1968 Camaro RS.  255 60 15 on the back, 235 60 15 on the front.  Rally Wheels. Stock suspension. No rubbing, and they look really good.  I wasn't much of a raised white letter guy, but these really set the car off.",1968 Chevrolet Camaro ,"5,000 Miles",Combined Highway/City,"Shreveport, LA",Spirited
"March 25, 2013",4.0,Used this tire on all my classic cars.  Great price for the look and performance.  If you have a late 60's or early 70's muscle car. . .these are the tires to use.,1970 Chevrolet Corvette ,"10,000 Miles",Combined Highway/City,"CRYSTAL LAKE, IL",Spirited
"March 23, 2013",4.0,"Bought the BF Goodrich Radial T/A tire for my GMC Sierra 1500 2WD standard cab stepside pickup as a replacement for Goodyear Eagle GT tires that I religiously ran on for many years (only to learn that Goodyear stopped making that tire in a 15"" when it came time to replace them.)  I wanted the White Letter tire and as many of you are finding out, 15"" RWL this is becoming a dying breed.  ",1990 GMC Sierra 2wd Pick-up ,"6,000 Miles",Combined Highway/City,"JACKSON, TN",Average
"March 14, 2013",3.5,2nd set of these tires and would buy them again,1985 Toyota Supra ,"10,000 Miles",Mostly City,"FOUNTAIN INN, SC",Spirited
"January 29, 2013",5.0,"1st time oem tires lasted past 60,000 miles for me. I drive fast and hard but they withstood my daily abuse I put on them. I'm very impressed and surprised daily that I haven't had to change them out yet.",2011 Ford Mustang Coupe ,"69,000 Miles",Combined Highway/City,"garden groove, ca",Spirited
